x	 y
301.1350738	4.87145E+16
319.8637911	9.7429E+16
337.4574347	2.92287E+17
351.0783201	6.82003E+17
361.2939841	1.29093E+18
369.8070375	2.07037E+18
377.185017	2.87415E+18
385.1305335	3.67794E+18
391.3734393	4.26252E+18
398.183882	4.96888E+18
406.1293984	5.45602E+18
416.9125993	5.89445E+18
431.6685585	5.60217E+18
441.3166856	5.06631E+18
449.262202	4.65223E+18
461.7480136	4.57916E+18
475.9364359	5.06631E+18
489.5573212	5.82138E+18
500.3405221	6.52774E+18
511.6912599	7.35589E+18
523.6095346	8.28146E+18
535.5278093	9.20704E+18
545.1759364	9.96211E+18
555.9591373	1.08877E+19
565.0397276	1.17158E+19
573.5527809	1.26414E+19
582.0658343	1.34452E+19
590.5788876	1.40785E+19
600.2270148	1.46874E+19
613.8479001	1.51015E+19
627.4687855	1.51746E+19
641.0896708	1.49797E+19
651.3053348	1.44926E+19
659.2508513	1.39323E+19
666.061294	1.32747E+19
670.6015891	1.24953E+19
674.0068104	1.17402E+19
679.1146425	1.08146E+19
681.9523269	9.93775E+18
685.9250851	9.03654E+18
688.7627696	8.0866E+18
691.600454	7.28281E+18
693.8706016	6.50338E+18
696.708286	5.60217E+18
700.6810443	4.65223E+18
705.2213394	3.67794E+18
713.1668558	2.46008E+18
720.5448354	1.85115E+18
731.8955732	1.33965E+18
745.5164586	9.7429E+17
759.7048808	7.79432E+17
775.5959137	6.33288E+17
796.5947787	5.60217E+17
